| 分割 | 券種 | 確率 | 較正 | オッズ | ルール | n | 的中 | ROI% | ROI(下限精算)% | 平均EV | 実測的中率 | モデル平均確率 | 市場implied |
|---|---|---|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|
| MINE | 馬連 | model | raw | floor | ev1.2 | 241976 | 573 | 48.2 | 48.2 | 2.91 | 0.2370% | 0.008470 | 0.004086 |
| MINE | 馬連 | model | raw | floor | top1 | 5013 | 6 | 16.3 | 16.3 | 8.08 | 0.1200% | 0.012021 | 0.002525 |
| MINE | 馬連 | model | raw | floor | top3 | 15037 | 27 | 32.7 | 32.7 | 6.87 | 0.1800% | 0.011966 | 0.002972 |
| MINE | 馬連 | model | raw | floor | top5 | 25045 | 50 | 33.4 | 33.4 | 6.18 | 0.2000% | 0.011698 | 0.003271 |
| MINE | 馬連 | model | raw | floor | top10 | 49802 | 112 | 56.8 | 56.8 | 5.18 | 0.2250% | 0.011283 | 0.003783 |
| MINE | 馬連 | model | raw | floor | top20 | 97106 | 224 | 46.0 | 46.0 | 4.18 | 0.2310% | 0.010514 | 0.004213 |
| MINE | 馬連 | model | iso | floor | ev1.2 | 203105 | 580 | 49.5 | 49.5 | 2.78 | 0.2860% | 0.009793 | 0.004810 |
| MINE | 馬連 | model | iso | floor | top1 | 5013 | 9 | 26.8 | 26.8 | 7.58 | 0.1800% | 0.013843 | 0.002968 |
| MINE | 馬連 | model | iso | floor | top3 | 15037 | 38 | 41.7 | 41.7 | 6.39 | 0.2530% | 0.013672 | 0.003476 |
| MINE | 馬連 | model | iso | floor | top5 | 25046 | 63 | 39.0 | 39.0 | 5.71 | 0.2520% | 0.013427 | 0.003886 |
| MINE | 馬連 | model | iso | floor | top10 | 49803 | 138 | 59.9 | 59.9 | 4.72 | 0.2770% | 0.013032 | 0.004600 |
| MINE | 馬連 | model | iso | floor | top20 | 96813 | 289 | 49.2 | 49.2 | 3.75 | 0.2990% | 0.012182 | 0.005224 |
| MINE | 馬連 | blend | raw | floor | ev1.2 | 64561 | 301 | 46.2 | 46.2 | 1.57 | 0.4660% | 0.010825 | 0.007213 |
| MINE | 馬連 | blend | raw | floor | top1 | 4990 | 44 | 51.6 | 51.6 | 1.87 | 0.8820% | 0.018447 | 0.012530 |
| MINE | 馬連 | blend | raw | floor | top3 | 14785 | 94 | 42.3 | 42.3 | 1.72 | 0.6360% | 0.014941 | 0.010137 |
| MINE | 馬連 | blend | raw | floor | top5 | 24403 | 137 | 40.2 | 40.2 | 1.64 | 0.5610% | 0.014081 | 0.009778 |
| MINE | 馬連 | blend | raw | floor | top10 | 47119 | 278 | 52.2 | 52.2 | 1.51 | 0.5900% | 0.013337 | 0.009750 |
